688,5,5,  1,  1.157
230800, 68826,5,5,  1,  0.758
230800,214602,5,5,  1,  0.607
230801,221199,5,5,  1,  0.388
230802,244291,5,5,  2,  1.425
230803, 84643,5,5,  1,  0.104
230803,172750,5,5,  1,  0.442
230804,  1264,5,5,  1,  0.715
230804, 56636,5,5,  2,  0.494
230804,200379,5,5,  2,  0.661
230805,155080,5,5,  1,  0.378
230806,186770,5,5,  1,  0.208
230807,230723,5,5,  1,  1.204
230808, 70170,5,5,  1,  0.509
230809,180043,5,5,  1,  0.554
230810,116392,5,5,  1,  0.671
230810,222922,5,5,  1,  0.713
230811, 85210,5,5,  1,  0.182
230812,154306,5,5,  1,  0.459
230813,109259,5,5,  1,  0.123
230813,238900,5,5,  1,  0.264
230814,222937,5,5,  1,  0.326
230815,222938,5,5,  1,  0.286
230815,241138,5,5,  1,  0.156
230816,144553,5,5,  1,  0.150
230817,259726,5,5,  1,  0.197
230818,104444,5,5,  1,  0.258
230819,137048,5,5,  1,  0.176
230819,211682,5,5,  4,  0.806
230820,221231,5,5,  1,  0.123
230821,233816,5,5, 12,  7.938
230822, 29415,5,5,  1,  0.431
230823,122133,5,5,  2,  0.754
230824,213274,5,5,  3,  1.005
230825,118671,5,5,  1,  0.260
230826,181168,5,5,  1,  0.114
230827,226331,5,5,  1,  0.371
230828, 58167,5,5,  1,  0.416
230829,230836,5,5,  1,  0.249
230830,230834,5,5,  1,  0.257
230831,230832,5,5,  1,  0.149
230832,134643,5,5,  2,  1.256
230833,255648,5,5,  1,  0.131
230834,230831,5,5,  2,  0.304
230834,255657,5,5,  1,  0.030
230835,146641,5,5,  1,  0.153
230836,240585,5,5,  1,  0.443
230837,230830,5,5,  1,  0.400
230838, 56761,5,5,  1,  0.146
230839,259036,5,5,  1,  0.430
230840,134582,5,5,  1,  0.227
230840,154492,5,5,  1,  0.283
230840,242604,5,5,  3,  0.741
230841,182085,5,5,  2,  0.624
230842, 82586,5,5,  1,  0.114
230843,186781,5,5,  1,  1.174
230844,186780,5,5,  1,  0.097
230845,152239,5,5,  1,  0.290
230846,200654,5,5,  1,  0.232
230846,235948,5,5,  1,  0.337
230847,171917,5,5,  1,  0.381
230847,251767,5,5,  1,  0.165
230848,139950,5,5,  1,  0.466
230849,170518,5,5,  1,  0.299
230850, 68922,5,5,  1,  0.404
230851, 96359,5,5,  2,  0.929
230852,240632,5,5,  1,  0.287
230853,186785,5,5,  5,  3.533
230853,215563,5,5,  1,  0.713
230854,230855,5,5,  1,  0.133
230855,250547,5,5,  1,  0.321
230856,138361,5,5,  1,  0.407
230857,205139,5,5,  1,  0.096
230858,230859,5,5,  1,  0.175
230858,230861,5,5,  1,  0.389
230859,230860,5,5,  1,  0.128
230860,230861,5,5,  1,  0.120
230861,230862,5,5,  1,  0.412
230862,202072,5,5,  1,  0.024
230862,211326,5,5,  1,  0.384
230863,157435,5,5,  1,  0.251
230864,105139,5,5,  1,  0.253
230865,137472,5,5,  1,  0.912
230866,209457,5,5,  1,  0.213
230866,229089,5,5,  1,  0.439
230867,133387,5,5,  1,  0.164
230867,209457,5,5,  1,  0.227
230868,141304,5,5,  3,  0.868
230868,141477,5,5,  2,  0.835
230868,206861,5,5,  1,  0.874
230869,137366,5,5,  1,  0.752
230870, 96548,5,5,  2,  0.420
230870,112652,5,5,  1,  0.232
230871,179186,5,5,  1,  0.349
230872,111677,5,5,  2,  1.152
230872,112772,5,5,  1,  0.829
230872,213051,5,5,  2,  2.265
230873, 47334,5,5,  1,  0.118
230874,223006,5,5,  1,  0.223
230875, 41574,5,5,  1,  0.516
230875, 75131,5,5,  2,  0.348
230875,101232,5,5,  1,  0.279
230876,208819,5,5,  1,  0.224
230877,230876,5,5,  1,  0.316
230878,125131,5,5,  1,  0.646
230878,162115,5,5,  1,  0.600
230878,194836,5,5,  2,  0.597
230879,119160,5,5,  1,  1.501
230879,214412,5,5,  3,  1.093
230880,240639,5,5,  1,  0.422
230881,221270,5,5,  1,  0.411
230882,150077,5,5,  1,  0.450
230883,238984,5,5,  1,  0.864
230884,223014,5,5,  1,  0.455
230884,238983,5,5,  1,  0.323
230885,238983,5,5,  1,  0.315
230886,237157,5,5,  2,  0.613
230887,119459,5,5,  1,  0.206
230888,230897,5,5,  1,  0.299
230889,137070,5,5,  1,  0.402
230889,191021,5,5,  5,  2.795
230889,230891,5,5,  1,  0.204
230890, 75196,5,5,  2,  1.662
230891,230890,5,5,  1,  0.375
230891,230893,5,5,  2,  0.376
230892,230893,5,5,  2,  1.660
230893, 75196,5,5,  2,  1.656
230893,230888,5,5,  1,  0.381
230894, 73536,5,5,  1,  0.431
230895,125388,5,5,  1,  0.224
230895,136286,5,5,  1,  0.538
230895,209795,5,5,  1,  0.641
230896, 22832,5,5,  1,  0.217
230897,230898,5,5,  1,  0.348
230898, 68961,5,5,  1,  0.254
230899,221289,5,5,  1,  0.468
230900, 63625,5,5,  2,  0.467
230900,160642,5,5,  1,  0.581
230901,229581,5,5,  2,  0.580
230901,230906,5,5,  1,  0.241
230902,230901,5,5,  1,  0.321
230903,240660,5,5,  1,  0.400
230904,230905,5,5,  1,  0.417
230905,230903,5,5,  1,  0.296
230905,238988,5,5,  1,  0.437
230906,230899,5,5,  1,  0.262
230907, 36286,5,5,  1,  0.406
230908,216166,5,5,  1,  0.110
230909,136371,5,5,  1,  0.819
230910,257074,5,5,  1,  0.232
230911,123099,5,5,  1,  0.451
230912,240674,5,5,  3,  0.702
230913, 12028,5,5,  6,  2.504
230913, 47132,5,5,  3,  2.593
230914, 15521,5,5,  1,  0.610
230914,250605,5,5,  1,  0.185
230915, 18966,5,5,  1,  0.398
230915, 18970,5,5,  1,  0.297
230916,240681,5,5,  1,  0.156
230917,216553,5,5, 10,  4.899
230918,192547,5,5,  1,  0.228
230919, 46461,5,5,  1,  0.434
230919, 59499,5,5,  1,  0.289
230920, 64726,5,5,  1,  1.084
230921,147724,5,5,  1,  0.481
230922,244855,5,5,  3,  0.321
230923, 18852,5,5,  1,  0.395
230924,133673,5,5,  1,  0.190
230924,195628,5,5,  1,  0.088
